Directory;File;Extension;Technos
D:/CAST/CodeDrop/Github/Analyzed/BeverageStarterFlow/com.castsoftware.uc.imsdc;plugin.nuspec;nuspec;
D:/CAST/CodeDrop/Github/Analyzed/BeverageStarterFlow/com.castsoftware.uc.imsdc;README.md;md;
D:/CAST/CodeDrop/Github/Analyzed/BeverageStarterFlow/com.castsoftware.uc.searchfilestoexclude;README.md;md;
