#GreenIT
#uuid;b4440c99-9d84-4397-8cfa-117a31ea26a2
#start_date;20240326_1604
#version_highlight;5.5.23-RELEASE
FILE SECTION

section=Python
Dat_FileName;Dat_AbortCause;Id_033;Id_745;Id_228;Id_855;Id_856;Id_853;Id_651;Id_479;
com.castsoftware.uc.imsdc\main.py;None;3;3;0;0;0;0;10;3;

APPLI SECTION
