#CloudReady
#uuid;b4440c99-9d84-4397-8cfa-117a31ea26a2
#start_date;20240326_1604
#version_highlight;5.5.23-RELEASE
FILE SECTION

section=Python
Dat_FileName;Dat_AbortCause;Id_011;Id_012;Id_013;Id_172;Id_050;Id_051;Id_003;Id_004;Id_176;Id_177;Id_085;Id_122;Id_123;Id_184;Id_185;Id_186;Id_187;Id_190;Id_170;Id_171;Id_173;Id_014;Id_094;Id_009;Id_005;Id_002;Id_174;Id_183;Id_182;Id_126;Id_127;Id_128;Id_175;Id_180;Id_188;Id_259;Id_119;Id_121;Id_133;Id_142;Id_143;Id_144;Id_145;Id_146;Id_147;Id_148;Id_150;Id_151;Id_152;Id_117;Id_118;Id_096;Id_057;Id_189;Id_205;Id_206;Id_260;
com.castsoftware.uc.imsdc\main.py;None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;

APPLI SECTION
Id_126;0;
Id_127;0;
